week,rmse,mae,lpd,sharpness
124,10.391225578266724,8.159517660091733,-3.793971140878308,208.2425552954172
125,16.644899115702756,12.475382808262019,-4.298366283909159,194.5086568632698
126,12.557652666015757,9.696701544489978,-3.9477920790498495,204.02789801485739
127,16.737937897888425,12.587321861037477,-4.329678013764182,197.7108944874906
128,11.054030866667086,8.608673522664409,-3.852221362782582,195.5927838212354
129,14.74338559391443,12.257673504574646,-4.121893064142864,187.2447666344547
130,15.961011896179572,14.399816164833842,-4.21474311898656,205.66269459594267
131,11.11891960806283,9.164973020716022,-3.8553248597067102,206.07971005082905
132,11.288649122804786,9.086076260616663,-3.8704607204801156,204.71865353411266
133,12.73830531976786,9.07419019113789,-3.981860671392437,192.08529090684567
134,9.16242184911987,6.919149437936562,-3.733203414062189,205.88810677948698
135,13.03746564076322,10.914919388595864,-3.993823341693324,200.95788539319707
136,14.90250186021371,12.146539649086407,-4.161529150548969,200.24632162763703
137,11.977472966017737,9.899317990536812,-3.9126039993410755,193.47239241402414
138,13.25709604266404,10.870259742110491,-3.993694688645288,197.5450209119242
139,12.798267011226244,10.618373713932439,-3.965218423025391,180.89748770220706
140,11.970343857882446,9.887454437054817,-3.918021725861189,202.33387494292757
